wkt_geom,fid,full_id,osm_id,osm_type,highway,covered,embankment,bridge:name,trail_visibility,mtb:scale:uphill,mtb:scale,incline,kerb,crossing:markings,golf,crossing,width,horse,motor_vehicle,segregated,access,footway,foot,lit,tunnel,layer,bridge,name,oneway,surface,bicycle
"LineString (-106.65237530000000277 52.09386659999999836, -106.65242150000000265 52.09387420000000191, -106.65243999999999858 52.09391209999999717, -106.65244930000000068 52.09410890000000194, -106.65247700000000464 52.09429819999999722, -106.65255709999999567 52.09457270000000051, -106.65270610000000318 52.09490610000000288, -106.65310239999999453 52.09550399999999826, -106.65309940000000211 52.09553240000000329, -106.65306549999999675 52.09555890000000034, -106.65284049999999638 52.09557209999999827, -106.65252049999999429 52.0955748000000014, -106.6519315999999975 52.09557970000000182, -106.65186690000000169 52.09556640000000272, -106.65180839999999307 52.09551530000000241, -106.65149409999999364 52.09487179999999995, -106.6514233000000047 52.09469380000000172, -106.65137710000000482 52.09465219999999874, -106.65126920000000155 52.09460870000000199, -106.65107020000000659 52.09458779999999933, -106.64955310000000566 52.09458779999999933, -106.64947300000000041 52.09460870000000199, -106.64938979999999447 52.09466170000000318, -106.64934970000000192 52.09473549999999875, -106.64936199999999644 52.095466100000003, -106.64935280000000262 52.09551150000000064, -106.64931579999999656 52.09552860000000152, -106.64925110000000075 52.09552289999999886, -106.64876750000000527 52.09541469999999919, -106.64821899999999744 52.0952920000000006, -106.6481389000000064 52.09525980000000089, -106.64811729999999557 52.09521999999999764, -106.64815749999999639 52.09397090000000219, -106.64817739999999446 52.09391469999999913, -106.64826370000000111 52.09388030000000214, -106.6487800999999962 52.09387830000000008, -106.65184940000000324 52.09386889999999681, -106.65237530000000277 52.09386659999999836)",987,w429914641,429914641,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65570940000000633 52.0949462999999966, -106.65571559999999351 52.09496839999999906, -106.65571339999999623 52.09498700000000326, -106.65570280000000025 52.09499439999999737, -106.65567690000000312 52.09500700000000251, -106.65515670000000625 52.09514490000000109, -106.65467150000000629 52.09527349999999757, -106.65463049999999612 52.09528009999999654, -106.65458510000000558 52.09526869999999832, -106.65456170000000213 52.09525610000000029, -106.65426619999999502 52.09479470000000134, -106.65411170000000141 52.09450240000000321, -106.65403449999999452 52.09429260000000284, -106.65398969999999679 52.09405530000000084, -106.65396540000000414 52.09389050000000054, -106.6539499999999947 52.09338240000000297, -106.65394100000000321 52.0930837000000011, -106.65396130000000596 52.09304879999999827, -106.65401819999999589 52.09303129999999982, -106.65510369999999796 52.09303380000000061, -106.65518090000000484 52.09305379999999985, -106.65519720000000348 52.0930837000000011, -106.65519390000000044 52.09338859999999727, -106.65518910000000119 52.0938256000000024, -106.65520130000000165 52.09398540000000111, -106.65527439999999615 52.09425269999999841, -106.65535570000000121 52.09441249999999712, -106.65570940000000633 52.0949462999999966)",988,w429922998,429922998,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65596209999999644 52.09492339999999899, -106.65600440000000049 52.09492190000000278, -106.6564975000000004 52.0947880000000012, -106.6569513000000029 52.09466479999999677, -106.65697539999999321 52.09463929999999721, -106.65696599999999705 52.09461129999999685, -106.65672449999999571 52.09427469999999971, -106.65669800000000578 52.09421259999999876, -106.65670020000000306 52.09409120000000115, -106.6567131000000046 52.09388930000000073, -106.65677410000000691 52.09380689999999703, -106.65689199999999914 52.09375200000000206, -106.65703229999999735 52.09373209999999688, -106.65794449999999927 52.09372570000000024, -106.658008499999994 52.09371399999999852, -106.6580459999999988 52.09367979999999676, -106.65805199999999786 52.09338739999999746, -106.6580581000000052 52.09309199999999862, -106.6580369999999931 52.09305059999999798, -106.65799450000000093 52.09303390000000178, -106.65693790000000263 52.0930357000000015, -106.65546899999999653 52.0930388000000022, -106.65541620000000478 52.09304509999999766, -106.65539990000000614 52.0930712999999983, -106.65540479999999945 52.09338939999999951, -106.65541140000000553 52.09381789999999768, -106.65542639999999608 52.09399049999999676, -106.65548939999999334 52.09420029999999713, -106.65558900000000619 52.09442510000000226, -106.65574429999999495 52.09465329999999739, -106.65593069999999898 52.09490459999999956, -106.65596209999999644 52.09492339999999899)",989,w429922999,429922999,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65167340000000706 52.09572159999999741, -106.6516711000000015 52.09564869999999814, -106.6516711000000015 52.09558959999999672, -106.6500178999999946 52.09558820000000168, -106.64955089999999416 52.09555799999999692, -106.6495479999999958 52.09562269999999984, -106.64954579999999851 52.0956980999999999)",990,w430050245,430050245,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.64667049999999904 52.095203699999999, -106.6466505000000069 52.09521149999999778, -106.6466513999999961 52.09533540000000329, -106.64664989999999989 52.09541500000000269)",991,w430075467,430075467,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.6466505000000069 52.09521149999999778, -106.64656109999999956 52.09521260000000353, -106.64646199999999965 52.09521199999999652, -106.64622629999999504 52.09520979999999923, -106.64615279999999586 52.09520899999999699)",992,w430075468,430075468,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.66100740000000258 52.09555499999999739, -106.66102030000000411 52.095612899999999, -106.66100219999999865 52.09566519999999912, -106.66094300000000317 52.09570529999999877, -106.66044970000000092 52.09586749999999711, -106.65994829999999638 52.09603239999999857, -106.65990859999999429 52.09606250000000216, -106.65991789999999639 52.09610270000000298, -106.66037090000000376 52.09663780000000344, -106.66041289999999719 52.09666070000000104, -106.66047600000000273 52.09666210000000319, -106.66100570000000403 52.09649060000000276, -106.66257980000000316 52.09598079999999953, -106.6626124999999945 52.09595060000000188, -106.6626124999999945 52.09591759999999994, -106.66237010000000396 52.09563719999999876, -106.66063479999999686 52.09362959999999987, -106.66046900000000619 52.09346029999999672, -106.66027979999999786 52.09333259999999655, -106.65999730000000056 52.09319779999999867, -106.65968669999999463 52.09310020000000208, -106.65944159999999385 52.0930585999999991, -106.659226799999999 52.09303709999999654, -106.65829739999999504 52.09304000000000201, -106.65823899999999469 52.0930515000000014, -106.65821800000000508 52.09307869999999951, -106.65822160000000451 52.09338739999999746, -106.65822500000000161 52.09368270000000223, -106.65824369999999988 52.09371279999999871, -106.65830210000000022 52.0937242999999981, -106.65858459999999752 52.09372570000000024, -106.65874289999999291 52.09373360000000019, -106.65896990000000244 52.09376160000000056, -106.65928049999999416 52.09384049999999888, -106.65951160000000186 52.09393659999999926, -106.65970780000000673 52.09407139999999714, -106.65984090000000606 52.09420339999999783, -106.66100740000000258 52.09555499999999739)",993,w430348580,430348580,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.65877589999999486 52.09385069999999729, -106.65842990000000157 52.09383420000000342, -106.65815800000000024 52.09383720000000295, -106.65701319999999441 52.09384250000000094, -106.65690250000000106 52.09386640000000313, -106.65686230000000023 52.09391500000000264, -106.65685100000000318 52.09418560000000298, -106.65685009999999977 52.09420829999999825, -106.65686809999999696 52.09425439999999696, -106.65712030000000254 52.09460219999999708, -106.65715980000000229 52.09462239999999866, -106.65719590000000494 52.09462889999999646, -106.65759309999999971 52.09458899999999915, -106.65784789999999305 52.09459559999999811, -106.65815369999999973 52.09463680000000352, -106.65848359999999673 52.09473229999999688, -106.65871160000000373 52.09483939999999791, -106.65891809999999396 52.09496959999999888, -106.65911930000000041 52.09516740000000112, -106.65976030000000208 52.0959270000000032, -106.65980589999999495 52.09595010000000315, -106.65987830000000258 52.09594349999999707, -106.66037009999999441 52.09577709999999939, -106.66077420000000586 52.09564029999999946, -106.66082780000000696 52.09560069999999854, -106.66082509999999672 52.0955561999999972, -106.6597308000000055 52.09431539999999927, -106.65954299999999932 52.09413419999999917, -106.65933379999999886 52.09399570000000068, -106.65906830000000127 52.09390510000000063, -106.65877589999999486 52.09385069999999729)",994,w430348582,430348582,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,asphalt,NULL
"LineString (-106.65719590000000494 52.09462889999999646, -106.65723420000000488 52.09468199999999882, -106.6572752999999949 52.09473530000000352)",995,w430362905,430362905,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LineString (-106.66041289999999719 52.09666070000000104, -106.66030560000000094 52.09669999999999845, -106.66019369999999356 52.09674019999999928)",996,w430369228,430369228,way,footway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
